PubCHEM,isosmiles
1,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
11,C(CCl)Cl
34,C(CCl)O
38,CC(C)(CO)C(=O)C(=O)O
49,CC(C)C(=O)C(=O)O
51,C(CC(=O)O)C(=O)C(=O)O
66,C1=CC(=C(C=C1Cl)O)Cl
70,CC(C)CC(=O)C(=O)O
71,C(CC(=O)C(=O)O)CC(=O)O
85,C[N+](C)(C)CC(CC(=O)O)O
96,CC(=O)CC(=O)O
107,C1=CC=C(C=C1)CCC(=O)O
119,C(CC(=O)O)CN
126,C1=CC(=CC=C1C=O)O
127,C1=CC(=CC=C1CC(=O)O)O
137,C(CC(=O)O)C(=O)CN
144,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
174,C(CO)O
175,CC(=O)[O-]
176,CC(=O)O
177,CC=O
178,CC(=O)N
179,CC(C(=O)C)O
180,CC(=O)C
187,CC(=O)OCC[N+](C)(C)C
190,C1=NC2=NC=NC(=C2N1)N
196,C(CCC(=O)O)CC(=O)O
199,C(CCN=C(N)N)CN
204,C1(C(=O)NC(=O)N1)NC(=O)N
206,C(C1C(C(C(C(O1)O)O)O)O)O
214,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
222,N
223,[NH4+]
227,C1=CC=C(C(=C1)C(=O)O)N
232,C(CC(C(=O)O)N)CN=C(N)N
234,O[As](=O)(O)O
237,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
239,C(CN)C(=O)O
241,C1=CC=CC=C1
243,C1=CC=C(C=C1)C(=O)O
244,C1=CC=C(C=C1)CO
247,C[N+](C)(C)CC(=O)[O-]
248,C[N+](C)(C)CC(=O)O
260,Br
261,CCCC=O
262,CC(C(C)O)O
263,CCCCO
264,CCCC(=O)O
271,[Ca+2]
275,C(CON=C(N)N)C(C(=O)O)N
280,C(=O)=O
281,[C-]#[O+]
284,C(=O)O
288,C[N+](C)(C)CC(CC(=O)[O-])O
289,C1=CC=C(C(=C1)O)O
294,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
297,C
300,C(C(=O)O)Cl
305,C[N+](C)(C)CCO
309,C(C(=CC(=O)O)C(=O)O)C(=O)O
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
312,[Cl-]
313,Cl
323,C1=CC=C2C(=C1)C=CC(=O)O2
335,CC1=CC=CC=C1O
338,C1=CC=C(C(=C1)C(=O)O)O
342,CC1=CC(=CC=C1)O
346,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
356,CCCCCCCC
359,C1=C(C=C(C=C1O)O)O
370,C1=C(C=C(C(=C1O)O)O)C(=O)O
379,CCCCCCCC(=O)O
385,C(CCC(=O)O)CCC(=O)O
402,S
403,C1=CC(=CC=C1N)O
408,CN1C(CCC1=O)C2=CN=CC=C2
428,C(CN)CN
441,CC(CC(=O)O)O
444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
449,CC(CCO)(CC(=O)O)O
457,C[N+]1=CC=CC(=C1)C(=O)N
460,COC1=CC=CC=C1O
464,C1=CC=C(C=C1)C(=O)NCC(=O)O
487,CC(C(=O)O)C(=O)O
496,CC(=O)NCCCNCCCCN
500,C(CC(=O)O)CN=C(N)N
515,CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
525,C(C(C(=O)O)O)C(=O)O
558,C(CC(=O)C(=O)O)CN=C(N)N
563,CSCCC(=O)O
564,C(CCC(=O)O)CCN
572,C(CN(C=O)O)CP(=O)(O)O
581,CC(=O)NC(CS)C(=O)O
586,CN(CC(=O)O)C(=N)N
587,CN(CC(=O)O)C(=NP(=O)(O)O)N
588,CN1CC(=O)N=C1N
595,C(C(C(=O)O)N)SSCC(C(=O)O)N
596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
597,C1=C(NC(=O)N=C1)N
598,C(CS(=O)(=O)O)S
611,C(CC(=O)O)C(C(=O)O)N
612,CC(C(=O)O)O
649,C1CNC(=O)NC1=O
652,CC(C(CCCCCC(=O)O)N)N
668,C(C(=O)COP(=O)(O)O)O
670,C(C(=O)CO)O
673,CN(C)CC(=O)O
674,CNC
679,CS(=O)C
681,C1=CC(=C(C=C1CCN)O)O
700,C(CO)N
702,CCO
712,C=O
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
738,C(CC(=O)N)C(C(=O)O)N
743,C(CC(=O)O)CC(=O)O
750,C(C(=O)O)N
753,C(C(CO)O)O
757,C(C(=O)O)O
760,C(=O)C(=O)O
763,C(C(=O)O)N=C(N)N
767,C(=O)(O)O
768,C#N
769,C(=O)(O)[O-]
772,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
774,C1=C(NC=N1)CCN
780,C1=CC(=C(C=C1O)CC(=O)O)O
783,[HH]
784,OO
785,C1=CC(=CC=C1O)O
787,NO
795,C1=CN=CN1
798,C1=CC=C2C(=C1)C=CN2
